OBJECT_NAME,OPS_STATUS_CODE,LAUNCH_DATE,DECAY_DATE,INCLINATION
STARLINK-81,D,2019/5/24,2020/10/4,53.01
STARLINK-79,D,2019/5/24,2020/10/3,53.01
STARLINK-78,D,2019/5/24,2020/9/16,53
STARLINK-77,D,2019/5/24,2020/10/2,53.01
STARLINK-76,D,2019/5/24,2021/9/26,52.96
STARLINK-75,D,2019/5/24,2021/3/28,53.01
STARLINK-74,D,2019/5/24,2020/9/29,53
STARLINK-73,D,2019/5/24,2020/9/28,53
STARLINK-72,D,2019/5/24,2020/10/16,53
STARLINK-70,D,2019/5/24,2021/10/3,52.98
STARLINK-69,D,2019/5/24,2020/9/16,53
STARLINK-68,D,2019/5/24,2021/6/26,52.99
STARLINK-67,D,2019/5/24,2020/5/27,52.97
STARLINK-66,D,2019/5/24,2020/8/21,53
STARLINK-65,D,2019/5/24,2020/10/21,53
STARLINK-64,D,2019/5/24,2021/5/21,52.98
STARLINK-63,D,2019/5/24,2020/10/13,53
STARLINK-62,D,2019/5/24,2020/8/28,53.01
STARLINK-60,D,2019/5/24,2020/12/26,53
STARLINK-59,D,2019/5/24,2020/10/15,53
STARLINK-58,D,2019/5/24,2020/8/23,53.01
STARLINK-57,D,2019/5/24,2020/9/18,52.99
STARLINK-56,D,2019/5/24,2020/9/10,52.99
STARLINK-55,D,2019/5/24,2021/3/9,53
STARLINK-54,D,2019/5/24,2020/9/15,52.98
STARLINK-53,D,2019/5/24,2020/9/26,53
STARLINK-52,D,2019/5/24,2020/10/13,53
STARLINK-51,D,2019/5/24,2020/9/2,53
STARLINK-50,D,2019/5/24,2020/9/17,53
STARLINK-49,D,2019/5/24,2020/9/29,53
STARLINK-48,D,2019/5/24,2021/4/18,53
STARLINK-46,D,2019/5/24,2020/2/20,52.97
STARLINK-45,D,2019/5/24,2020/9/4,52.99
STARLINK-44,D,2019/5/24,2020/9/5,53
STARLINK-42,D,2019/5/24,2020/9/16,52.99
STARLINK-41,D,2019/5/24,2020/8/9,53.01
STARLINK-40,D,2019/5/24,2020/9/5,53
STARLINK-39,D,2019/5/24,2020/9/18,52.99
STARLINK-38,D,2019/5/24,2020/9/6,53
STARLINK-37,D,2019/5/24,2020/9/16,52.96
STARLINK-36,D,2019/5/24,2020/9/15,53
STARLINK-35,D,2019/5/24,2020/9/16,52.99
STARLINK-34,D,2019/5/24,2020/9/3,52.99
STARLINK-33,D,2019/5/24,2020/8/29,53.01
STARLINK-3280,D,2021/12/18,2021/12/28,53.22
STARLINK-32,D,2019/5/24,2020/9/12,52.99
STARLINK-3123,D,2021/11/13,2021/12/1,53.21
STARLINK-31,D,2019/5/24,2020/10/1,52.97
STARLINK-30,D,2019/5/24,2020/10/13,52.97
STARLINK-29,D,2019/5/24,2020/10/13,53
STARLINK-28,D,2019/5/24,2020/8/21,52.99
STARLINK-27,D,2019/5/24,2020/9/26,53.01
STARLINK-2638,D,2021/5/9,2021/6/2,53.02
STARLINK-26,D,2019/5/24,2021/4/10,52.96
