
top - 03:44:49 up 1 day, 17:11,  4 users,  load average: 0.16, 0.91, 0.77
Tasks: 151 total,   1 running,  91 sleeping,   0 stopped,   0 zombie
%Cpu(s): 38.5 us, 10.1 sy,  0.0 ni, 49.1 id,  0.0 wa,  0.0 hi,  2.2 si,  0.0 st
KiB Mem :  7996700 total,  3506656 free,  2334996 used,  2155048 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5558732 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 2040 root      20   0  984036  74812  22328 S  99.0  0.9  91:57.33 mongod
 5024 root      20   0 12.738g 909276  13940 S  31.1 11.4   0:10.57 open5gs-smfd
 5026 root      20   0  909920  95780  11576 S  26.2  1.2   0:24.60 open5gs-amfd
 5030 root      20   0  406800  87448   9432 S  15.5  1.1   0:12.68 open5gs-udmd
 4720 ubuntu    20   0   12900   4304   2708 S   5.8  0.1   0:05.25 sshd
 5032 root      20   0  898040  76228  12404 S   5.8  1.0   0:07.31 open5gs-pcfd
 5039 root      20   0  376452  69024  12580 S   4.9  0.9   0:09.34 open5gs-udrd
 5017 root      20   0  879060  26676   7252 S   3.9  0.3   0:01.27 5gc
 4878 root      20   0       0      0      0 I   2.9  0.0   0:02.78 kworker/u8:3-ev
 5021 root      20   0 13.833g 776348   4800 S   1.9  9.7   0:03.48 open5gs-upfd
 5036 root      20   0  540340  39528   7180 S   1.9  0.5   0:01.17 open5gs-bsfd
 5161 ubuntu    20   0    9440   3500   2888 R   1.9  0.0   0:00.63 top
   10 root      20   0       0      0      0 I   1.0  0.0   1:03.93 rcu_preempt
 4444 root      20   0       0      0      0 I   1.0  0.0   0:03.27 kworker/u8:0-br
 5152 root      20   0       0      0      0 I   1.0  0.0   0:00.19 kworker/u8:2-ev
 5153 root      20   0       0      0      0 I   1.0  0.0   0:00.13 kworker/0:0-eve
    1 root      20   0  161364   8516   5720 S   0.0  0.1   0:17.72 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.36 kthreadd
