
top - 16:28:40 up 1 day,  5:54,  3 users,  load average: 0.09, 0.63, 0.97
Tasks: 146 total,   1 running,  88 sleeping,   0 stopped,   0 zombie
%Cpu(s): 24.1 us,  6.4 sy,  0.0 ni, 67.6 id,  0.0 wa,  0.0 hi,  2.0 si,  0.0 st
KiB Mem :  7996700 total,  3559588 free,  2298908 used,  2138204 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5594816 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 2040 root      20   0  984036  74812  22328 S  58.8  0.9  78:33.92 mongod
 1977 root      20   0 12.738g 897640  13864 S  21.6 11.2   0:08.93 open5gs-smfd
 1979 root      20   0  909920  84548  11848 S  19.6  1.1   0:21.69 open5gs-amfd
 1983 root      20   0  406800  78884   9544 S   9.8  1.0   0:10.22 open5gs-udmd
23530 ubuntu    20   0   12672   4252   2884 S   3.9  0.1   0:12.58 sshd
 1970 root      20   0  879060  26728   7304 S   2.9  0.3   0:01.05 5gc
 1985 root      20   0  898040  71452  12464 S   2.9  0.9   0:06.07 open5gs-pcfd
 1991 root      20   0  376452  63956  12240 S   2.9  0.8   0:07.71 open5gs-udrd
25413 root      20   0       0      0      0 I   2.9  0.0   0:03.92 kworker/u8:1-br
 2105 ubuntu    20   0    9436   3424   2820 R   2.0  0.0   0:00.60 top
 1974 root      20   0 13.833g 773960   4780 S   1.0  9.7   0:03.21 open5gs-upfd
 1989 root      20   0  540340  39588   7640 S   1.0  0.5   0:00.98 open5gs-bsfd
 2080 root      20   0       0      0      0 I   1.0  0.0   0:00.54 kworker/0:1-eve
29266 root      20   0       0      0      0 I   1.0  0.0   0:01.89 kworker/u8:0-ev
    1 root      20   0  161364   8516   5720 S   0.0  0.1   0:16.03 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.28 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_wq
    9 root      20   0       0      0      0 S   0.0  0.0   0:08.73 ksoftirqd/0
   10 root      20   0       0      0      0 I   0.0  0.0   0:51.59 rcu_preempt
