
top - 03:27:15 up 1 day, 16:53,  4 users,  load average: 0.31, 0.19, 0.15
Tasks: 149 total,   1 running,  91 sleeping,   0 stopped,   0 zombie
%Cpu(s): 50.7 us,  9.8 sy,  0.0 ni, 37.3 id,  0.0 wa,  0.0 hi,  2.2 si,  0.0 st
KiB Mem :  7996700 total,  3532340 free,  2310000 used,  2154360 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5583728 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 2040 root      20   0  984036  74812  22328 S 141.7  0.9  88:19.12 mongod
 4760 root      20   0 12.738g 901868  13912 S  30.1 11.3   0:09.37 open5gs-smfd
 4762 root      20   0  909920  87088  11924 S  24.3  1.1   0:21.94 open5gs-amfd
 4766 root      20   0  406800  78824   8984 S  13.6  1.0   0:10.51 open5gs-udmd
 4768 root      20   0  898040  72804  12440 S   8.7  0.9   0:06.22 open5gs-pcfd
 4775 root      20   0  376452  65796  12524 S   6.8  0.8   0:07.96 open5gs-udrd
 4720 ubuntu    20   0   12324   3692   2708 S   4.9  0.0   0:01.82 sshd
 4444 root      20   0       0      0      0 I   2.9  0.0   0:01.74 kworker/u8:0-ev
 4753 root      20   0  879060  26592   7188 S   2.9  0.3   0:01.08 5gc
 4757 root      20   0 13.833g 774568   4864 S   2.9  9.7   0:03.26 open5gs-upfd
 4773 root      20   0  540340  39720   7508 S   1.9  0.5   0:01.03 open5gs-bsfd
 4878 root      20   0       0      0      0 I   1.9  0.0   0:00.56 kworker/u8:3-ev
 5007 ubuntu    20   0    9440   3496   2888 R   1.9  0.0   0:00.67 top
 4465 root      20   0       0      0      0 I   1.0  0.0   0:01.80 kworker/u8:1-br
 4993 root      20   0       0      0      0 I   1.0  0.0   0:00.21 kworker/0:2-eve
    1 root      20   0  161364   8516   5720 S   0.0  0.1   0:17.66 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.36 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_wq
    9 root      20   0       0      0      0 S   0.0  0.0   0:09.43 ksoftirqd/0
   10 root      20   0       0      0      0 I   0.0  0.0   1:03.03 rcu_preempt
   11 root      rt   0       0      0      0 S   0.0  0.0   0:01.13 migration/0
   12 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/0
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   16 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/1
   17 root      rt   0       0      0      0 S   0.0  0.0   0:01.17 migration/1
   18 root      20   0       0      0      0 S   0.0  0.0   0:05.53 ksoftirqd/1
   21 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
   22 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/2
   23 root      rt   0       0      0      0 S   0.0  0.0   0:01.14 migration/2
   24 root      20   0       0      0      0 S   0.0  0.0   0:04.87 ksoftirqd/2
