
top - 04:01:11 up 1 day, 17:27,  4 users,  load average: 0.12, 0.10, 0.32
Tasks: 149 total,   1 running,  91 sleeping,   0 stopped,   0 zombie
%Cpu(s): 45.8 us, 12.0 sy,  0.0 ni, 39.8 id,  0.0 wa,  0.0 hi,  2.5 si,  0.0 st
KiB Mem :  7996700 total,  3440684 free,  2398644 used,  2157372 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5495084 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 2040 root      20   0  984036  74812  22328 S 115.7  0.9  96:04.30 mongod
 5180 root      20   0 12.801g 934820  13964 S  39.2 11.7   0:12.07 open5gs-smfd
 5182 root      20   0  909920 115816  11980 S  31.4  1.4   0:26.95 open5gs-amfd
 5186 root      20   0  406800 102956   8800 S  21.6  1.3   0:14.14 open5gs-udmd
 4720 ubuntu    20   0   12900   4304   2708 S   5.9  0.1   0:09.37 sshd
 5188 root      20   0  898040  81336  12624 S   5.9  1.0   0:08.12 open5gs-pcfd
 5195 root      20   0  376452  72944  12532 S   4.9  0.9   0:10.45 open5gs-udrd
 5271 root      20   0       0      0      0 I   3.9  0.0   0:00.73 kworker/u8:0-ev
 5173 root      20   0  879060  26820   7396 S   2.9  0.3   0:01.48 5gc
 5177 root      20   0 13.833g 777692   4812 S   2.9  9.7   0:03.65 open5gs-upfd
 4878 root      20   0       0      0      0 I   2.0  0.0   0:04.88 kworker/u8:3-br
 5262 root      20   0       0      0      0 I   2.0  0.0   0:00.78 kworker/0:3-eve
 5312 ubuntu    20   0    9440   3496   2888 R   2.0  0.0   0:00.69 top
 5152 root      20   0       0      0      0 I   1.0  0.0   0:02.37 kworker/u8:2-ev
 5192 root      20   0  540340  39568   7220 S   1.0  0.5   0:01.27 open5gs-bsfd
 5249 root      20   0       0      0      0 I   1.0  0.0   0:00.76 kworker/1:1-mm_
    1 root      20   0  161364   8516   5720 S   0.0  0.1   0:17.76 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.37 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_wq
    9 root      20   0       0      0      0 S   0.0  0.0   0:09.61 ksoftirqd/0
   10 root      20   0       0      0      0 I   0.0  0.0   1:04.86 rcu_preempt
   11 root      rt   0       0      0      0 S   0.0  0.0   0:01.15 migration/0
   12 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/0
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   16 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/1
   17 root      rt   0       0      0      0 S   0.0  0.0   0:01.18 migration/1
   18 root      20   0       0      0      0 S   0.0  0.0   0:05.62 ksoftirqd/1
   21 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
   22 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/2
   23 root      rt   0       0      0      0 S   0.0  0.0   0:01.15 migration/2
   24 root      20   0       0      0      0 S   0.0  0.0   0:04.95 ksoftirqd/2
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/3
   28 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/3
   29 root      rt   0       0      0      0 S   0.0  0.0   0:01.12 migration/3
   30 root      20   0       0      0      0 S   0.0  0.0   0:04.70 ksoftirqd/3
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.04 kdevtmpfs
   34 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 netns
   35 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_tasks_kthre
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
   37 root      20   0       0      0      0 S   0.0  0.0   0:00.10 khungtaskd
   38 root      20   0       0      0      0 S   0.0  0.0   0:00.00 oom_reaper
   39 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 writeback
   40 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kcompactd0
   41 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   89 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kintegrityd
   90 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kblockd
   91 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 blkcg_punt_bio
   92 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 tpm_dev_wq
   93 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ata_sff
   94 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 md
   95 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 edac-poller
   96 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 devfreq_wq
   98 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 watchdogd
  101 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
  102 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-kthrea
  104 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kthrotld
  105 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/41-aerdrv
  107 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 DWC Notificatio
  109 root       1 -19       0      0      0 S   0.0  0.0   0:00.00 vchiq-slot/0
