
top - 06:01:30 up 1 day, 36 min,  2 users,  load average: 0.69, 0.55, 0.51
Tasks: 148 total,   1 running,  86 sleeping,   0 stopped,   0 zombie
%Cpu(s): 11.2 us,  5.6 sy,  0.0 ni, 81.3 id,  0.0 wa,  0.0 hi,  1.9 si,  0.0 st
KiB Mem :  7996696 total,  3690976 free,  2107520 used,  2198200 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5785656 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 9458 root      20   0  909920  45532  11644 S  14.6  0.6   0:08.16 open5gs-amfd
 9462 root      20   0  406800  35908   8952 S   9.7  0.4   0:00.24 open5gs-udmd
 9247 mongodb   20   0  974364  78560  32316 S   8.7  1.0   0:08.43 mongod
 9471 root      20   0  376452  39184  12556 S   8.7  0.5   0:00.25 open5gs-udrd
 9456 root      20   0 12.738g 857856  13848 S   6.8 10.7   0:02.51 open5gs-smfd
 9464 root      20   0  898040  46040  12348 S   6.8  0.6   0:00.25 open5gs-pcfd
 9460 root      20   0  407936  34092   7576 S   2.9  0.4   0:00.19 open5gs-ausfd
 9524 ubuntu    20   0    9436   3456   2848 R   2.9  0.0   0:00.14 top
 5563 ubuntu    20   0   13180   4588   2712 S   1.9  0.1   1:26.56 sshd
   10 root      20   0       0      0      0 I   1.0  0.0   0:28.53 rcu_preempt
 8559 root      20   0       0      0      0 I   1.0  0.0   0:04.96 kworker/u8:4-ev
 8565 root      20   0       0      0      0 I   1.0  0.0   0:00.13 kworker/2:2-eve
 8653 root      20   0       0      0      0 I   1.0  0.0   0:03.14 kworker/u8:3-br
 8868 root      20   0       0      0      0 I   1.0  0.0   0:00.49 kworker/0:2-eve
 9449 root      20   0  879060  26764   7340 S   1.0  0.3   0:00.12 5gc
 9451 root      20   0  376536  38456  11612 S   1.0  0.5   0:00.16 open5gs-nrfd
 9453 root      20   0 13.833g 762964   4880 S   1.0  9.5   0:02.15 open5gs-upfd
 9468 root      20   0  540340  35496   7112 S   1.0  0.4   0:00.14 open5gs-bsfd
    1 root      20   0  161784   8704   5540 S   0.0  0.1   0:14.34 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.19 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_wq
    9 root      20   0       0      0      0 S   0.0  0.0   0:05.86 ksoftirqd/0
   11 root      rt   0       0      0      0 S   0.0  0.0   0:00.75 migration/0
   12 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/0
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   16 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/1
   17 root      rt   0       0      0      0 S   0.0  0.0   0:00.75 migration/1
   18 root      20   0       0      0      0 S   0.0  0.0   0:05.29 ksoftirqd/1
   20 root       0 -20       0      0      0 I   0.0  0.0   0:05.18 kworker/1:0H-kb
   21 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
   22 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/2
   23 root      rt   0       0      0      0 S   0.0  0.0   0:00.72 migration/2
   24 root      20   0       0      0      0 S   0.0  0.0   0:04.38 ksoftirqd/2
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/3
   28 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/3
   29 root      rt   0       0      0      0 S   0.0  0.0   0:00.69 migration/3
   30 root      20   0       0      0      0 S   0.0  0.0   0:04.94 ksoftirqd/3
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.03 kdevtmpfs
   34 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 netns
   35 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_tasks_kthre
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
   37 root      20   0       0      0      0 S   0.0  0.0   0:00.06 khungtaskd
   38 root      20   0       0      0      0 S   0.0  0.0   0:00.00 oom_reaper
   39 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 writeback
   40 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kcompactd0
   41 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   89 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kintegrityd
   90 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kblockd
   91 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 blkcg_punt_bio
   92 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 tpm_dev_wq
   93 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ata_sff
