

top - 06:22:59 up 1 day, 58 min,  2 users,  load average: 0.03, 0.19, 0.52
Tasks: 144 total,   2 running,  86 sleeping,   0 stopped,   0 zombie
%Cpu(s): 59.3 us, 29.3 sy,  0.0 ni,  5.1 id,  0.2 wa,  0.0 hi,  6.1 si,  0.0 st
KiB Mem :  7996696 total,  3189076 free,  2128488 used,  2679132 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5764764 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
20038 root      20   0  909920  65572  11672 S  77.7  0.8   0:10.06 open5gs-amfd
20042 root      20   0  406800  52500   8980 S  65.0  0.7   0:01.84 open5gs-udmd
 9247 mongodb   20   0  974364  78828  32316 S  52.4  1.0   0:55.77 mongod
20051 root      20   0  376452  43932  12280 S  44.7  0.5   0:01.26 open5gs-udrd
20040 root      20   0  407936  45916   7692 S  32.0  0.6   0:01.10 open5gs-ausfd
20044 root      20   0  898040  51560  12612 S  30.1  0.6   0:00.79 open5gs-pcfd
20036 root      20   0 12.738g 865568  13976 S  28.2 10.8   0:02.98 open5gs-smfd
 5563 ubuntu    20   0   13180   4588   2712 S  14.6  0.1   1:38.36 sshd
 9075 root      20   0       0      0      0 I   5.8  0.0   0:06.54 kworker/u8:2-br
20026 root      20   0       0      0      0 I   5.8  0.0   0:00.16 kworker/u8:0-ev
20029 root      20   0  879060  26684   7260 S   5.8  0.3   0:00.27 5gc
20033 root      20   0 13.833g 763996   4844 S   3.9  9.6   0:02.20 open5gs-upfd
 8559 root      20   0       0      0      0 I   2.9  0.0   0:09.41 kworker/u8:4-ev
20049 root      20   0  540340  36364   7188 S   2.9  0.5   0:00.20 open5gs-bsfd
 9234 root      20   0       0      0      0 I   1.9  0.0   0:01.81 kworker/0:1-eve
20118 ubuntu    20   0    9432   3420   2820 R   1.9  0.0   0:00.17 top
   10 root      20   0       0      0      0 I   1.0  0.0   0:29.68 rcu_preempt
   18 root      20   0       0      0      0 S   1.0  0.0   0:05.60 ksoftirqd/1
10166 root       0 -20       0      0      0 I   1.0  0.0   0:00.26 kworker/0:1H-mm
    1 root      20   0  161784   8704   5540 S   0.0  0.1   0:14.55 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.20 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_wq
    9 root      20   0       0      0      0 S   0.0  0.0   0:06.43 ksoftirqd/0
   11 root      rt   0       0      0      0 S   0.0  0.0   0:00.76 migration/0
   12 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/0
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   16 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/1
   17 root      rt   0       0      0      0 S   0.0  0.0   0:00.77 migration/1
   20 root       0 -20       0      0      0 I   0.0  0.0   0:05.45 kworker/1:0H-kb
   21 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
   22 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/2
   23 root      rt   0       0      0      0 S   0.0  0.0   0:00.74 migration/2
   24 root      20   0       0      0      0 S   0.0  0.0   0:04.70 ksoftirqd/2
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/3
   28 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/3
   29 root      rt   0       0      0      0 S   0.0  0.0   0:00.71 migration/3
   30 root      20   0       0      0      0 S   0.0  0.0   0:05.27 ksoftirqd/3
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.03 kdevtmpfs
   34 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 netns
   35 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_tasks_kthre
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
   37 root      20   0       0      0      0 S   0.0  0.0   0:00.06 khungtaskd
   38 root      20   0       0      0      0 S   0.0  0.0   0:00.00 oom_reaper
   39 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 writeback
   40 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kcompactd0
   41 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   89 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kintegrityd
   90 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kblockd
   91 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 blkcg_punt_bio
   92 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 tpm_dev_wq
   93 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ata_sff
   94 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 md
   95 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 edac-poller
   96 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 devfreq_wq
   97 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 watchdogd
  101 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
  102 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-kthrea
  104 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kthrotld
  105 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/41-aerdrv
  107 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 DWC Notificatio
  109 root       1 -19       0      0      0 S   0.0  0.0   0:00.00 vchiq-slot/0
  110 root       1 -19       0      0      0 S   0.0  0.0   0:00.00 vchiq-recy/0
