

top - 06:02:34 up 1 day, 37 min,  2 users,  load average: 0.39, 0.49, 0.49
Tasks: 148 total,   1 running,  86 sleeping,   0 stopped,   0 zombie
%Cpu(s): 20.3 us,  8.7 sy,  0.0 ni, 68.1 id,  0.2 wa,  0.0 hi,  2.7 si,  0.0 st
KiB Mem :  7996696 total,  3682924 free,  2115496 used,  2198276 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5777712 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 9540 root      20   0  909920  47540  11768 S  24.3  0.6   0:08.39 open5gs-amfd
 9544 root      20   0  406800  38484   9452 S  20.4  0.5   0:00.45 open5gs-udmd
 9553 root      20   0  376452  40436  12476 S  16.5  0.5   0:00.41 open5gs-udrd
 9247 mongodb   20   0  974364  78560  32316 S  15.5  1.0   0:10.42 mongod
 9538 root      20   0 12.738g 859116  14004 S  11.7 10.7   0:02.62 open5gs-smfd
 9546 root      20   0  898040  46600  12380 S  10.7  0.6   0:00.35 open5gs-pcfd
 9542 root      20   0  407936  34744   7708 S   6.8  0.4   0:00.27 open5gs-ausfd
 5563 ubuntu    20   0   13180   4588   2712 S   2.9  0.1   1:27.06 sshd
 8653 root      20   0       0      0      0 I   2.9  0.0   0:03.38 kworker/u8:3-br
 9075 root      20   0       0      0      0 I   1.9  0.0   0:01.96 kworker/u8:2-ev
 9531 root      20   0  879060  26732   7308 S   1.9  0.3   0:00.15 5gc
 9535 root      20   0 13.833g 763228   4876 S   1.9  9.5   0:02.15 open5gs-upfd
 9608 ubuntu    20   0    9436   3468   2860 R   1.9  0.0   0:00.13 top
    9 root      20   0       0      0      0 S   1.0  0.0   0:05.88 ksoftirqd/0
 1555 root      20   0       0      0      0 S   1.0  0.0   0:09.54 brcmf_wdog/mmc1
 1711 root      20   0  402504  16808  12604 S   1.0  0.2   1:27.76 NetworkManager
 5429 root      20   0       0      0      0 I   1.0  0.0   0:02.04 kworker/3:0-eve
 8868 root      20   0       0      0      0 I   1.0  0.0   0:00.61 kworker/0:2-eve
 9234 root      20   0       0      0      0 I   1.0  0.0   0:00.37 kworker/0:1-eve
 9550 root      20   0  540340  35512   7116 S   1.0  0.4   0:00.15 open5gs-bsfd
    1 root      20   0  161784   8704   5540 S   0.0  0.1   0:14.37 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.20 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_wq
   10 root      20   0       0      0      0 I   0.0  0.0   0:28.59 rcu_preempt
   11 root      rt   0       0      0      0 S   0.0  0.0   0:00.75 migration/0
   12 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/0
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   16 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/1
   17 root      rt   0       0      0      0 S   0.0  0.0   0:00.75 migration/1
   18 root      20   0       0      0      0 S   0.0  0.0   0:05.30 ksoftirqd/1
   20 root       0 -20       0      0      0 I   0.0  0.0   0:05.18 kworker/1:0H-kb
   21 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
   22 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/2
   23 root      rt   0       0      0      0 S   0.0  0.0   0:00.72 migration/2
   24 root      20   0       0      0      0 S   0.0  0.0   0:04.39 ksoftirqd/2
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/3
   28 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/3
   29 root      rt   0       0      0      0 S   0.0  0.0   0:00.69 migration/3
   30 root      20   0       0      0      0 S   0.0  0.0   0:04.95 ksoftirqd/3
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.03 kdevtmpfs
   34 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 netns
   35 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_tasks_kthre
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
   37 root      20   0       0      0      0 S   0.0  0.0   0:00.06 khungtaskd
   38 root      20   0       0      0      0 S   0.0  0.0   0:00.00 oom_reaper
   39 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 writeback
   40 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kcompactd0
   41 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   89 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kintegrityd
   90 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kblockd
   91 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 blkcg_punt_bio
   92 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 tpm_dev_wq
   93 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ata_sff
   94 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 md
   95 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 edac-poller
   96 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 devfreq_wq
   97 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 watchdogd
  101 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
