

top - 06:45:46 up 1 day,  1:21,  2 users,  load average: 0.77, 0.19, 0.17
Tasks: 143 total,   2 running,  86 sleeping,   0 stopped,   0 zombie
%Cpu(s): 61.0 us, 27.3 sy,  0.0 ni,  4.1 id,  0.0 wa,  0.0 hi,  7.6 si,  0.0 st
KiB Mem :  7996696 total,  3111912 free,  2203980 used,  2680804 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5689292 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
20234 root      20   0  909920  92172  11720 S  88.2  1.2   0:12.30 open5gs-amfd
20238 root      20   0  406800  71456   9076 S  65.7  0.9   0:03.66 open5gs-udmd
 9247 mongodb   20   0  974364  78840  32316 S  52.0  1.0   1:07.49 mongod
20236 root      20   0  407936  63104   7624 S  43.1  0.8   0:02.35 open5gs-ausfd
20247 root      20   0  376452  46952  12400 S  41.2  0.6   0:02.35 open5gs-udrd
20240 root      20   0  898040  55764  12612 S  25.5  0.7   0:01.27 open5gs-pcfd
20232 root      20   0 12.738g 868188  13696 S  20.6 10.9   0:03.29 open5gs-smfd
 5563 ubuntu    20   0   13180   4588   2712 S  13.7  0.1   1:41.33 sshd
20225 root      20   0  879060  26772   7352 S   5.9  0.3   0:00.48 5gc
20302 root      20   0       0      0      0 R   5.9  0.0   0:00.26 kworker/u8:0+br
20120 root      20   0       0      0      0 I   4.9  0.0   0:01.23 kworker/u8:1-ev
20130 root      20   0       0      0      0 I   3.9  0.0   0:00.68 kworker/u8:3-ev
20229 root      20   0 13.833g 764432   4748 S   2.9  9.6   0:02.26 open5gs-upfd
20301 ubuntu    20   0    9432   3420   2820 R   2.9  0.0   0:00.25 top
20214 root      20   0       0      0      0 I   2.0  0.0   0:00.40 kworker/0:2-eve
20245 root      20   0  540340  36884   7176 S   2.0  0.5   0:00.23 open5gs-bsfd
    9 root      20   0       0      0      0 S   1.0  0.0   0:06.50 ksoftirqd/0
    1 root      20   0  161784   8704   5540 S   0.0  0.1   0:14.60 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.20 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_wq
   10 root      20   0       0      0      0 I   0.0  0.0   0:30.06 rcu_preempt
   11 root      rt   0       0      0      0 S   0.0  0.0   0:00.77 migration/0
   12 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/0
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   16 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/1
   17 root      rt   0       0      0      0 S   0.0  0.0   0:00.78 migration/1
   18 root      20   0       0      0      0 S   0.0  0.0   0:05.63 ksoftirqd/1
   20 root       0 -20       0      0      0 I   0.0  0.0   0:05.48 kworker/1:0H-kb
   21 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
   22 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/2
   23 root      rt   0       0      0      0 S   0.0  0.0   0:00.74 migration/2
   24 root      20   0       0      0      0 S   0.0  0.0   0:04.75 ksoftirqd/2
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/3
   28 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/3
   29 root      rt   0       0      0      0 S   0.0  0.0   0:00.72 migration/3
   30 root      20   0       0      0      0 S   0.0  0.0   0:05.30 ksoftirqd/3
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.03 kdevtmpfs
   34 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 netns
   35 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_tasks_kthre
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
   37 root      20   0       0      0      0 S   0.0  0.0   0:00.06 khungtaskd
   38 root      20   0       0      0      0 S   0.0  0.0   0:00.00 oom_reaper
   39 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 writeback
   40 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kcompactd0
   41 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   89 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kintegrityd
   90 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kblockd
   91 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 blkcg_punt_bio
   92 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 tpm_dev_wq
   93 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ata_sff
   94 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 md
   95 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 edac-poller
   96 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 devfreq_wq
   97 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 watchdogd
  101 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
  102 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-kthrea
  104 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kthrotld
  105 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/41-aerdrv
  107 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 DWC Notificatio
  109 root       1 -19       0      0      0 S   0.0  0.0   0:00.00 vchiq-slot/0
  110 root       1 -19       0      0      0 S   0.0  0.0   0:00.00 vchiq-recy/0
  111 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 vchiq-sync/0
  112 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ipv6_addrconf
  123 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kstrp
  126 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/u9:0
