
top - 06:04:08 up 1 day, 39 min,  2 users,  load average: 0.80, 0.59, 0.53
Tasks: 145 total,   1 running,  87 sleeping,   0 stopped,   0 zombie
%Cpu(s): 36.9 us, 17.6 sy,  0.0 ni, 42.8 id,  0.0 wa,  0.0 hi,  2.7 si,  0.0 st
KiB Mem :  7996696 total,  3674956 free,  2122904 used,  2198836 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5770312 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 9708 root      20   0  909920  49216  12012 S  43.7  0.6   0:08.66 open5gs-amfd
 9712 root      20   0  406800  39636   9284 S  35.9  0.5   0:00.68 open5gs-udmd
 9247 mongodb   20   0  974364  78568  32316 S  29.1  1.0   0:18.13 mongod
 9721 root      20   0  376452  41280  12264 S  29.1  0.5   0:00.57 open5gs-udrd
 9714 root      20   0  898040  48072  12564 S  23.3  0.6   0:00.48 open5gs-pcfd
 9706 root      20   0 12.738g 860868  14044 S  22.3 10.8   0:02.71 open5gs-smfd
 9710 root      20   0  407936  35760   7664 S  13.6  0.4   0:00.36 open5gs-ausfd
 5563 ubuntu    20   0   13180   4588   2712 S   6.8  0.1   1:28.91 sshd
 9703 root      20   0 13.833g 763500   4884 S   3.9  9.5   0:02.21 open5gs-upfd
 9719 root      20   0  540340  35720   7064 S   3.9  0.4   0:00.18 open5gs-bsfd
 8559 root      20   0       0      0      0 I   2.9  0.0   0:05.95 kworker/u8:4-ev
 9075 root      20   0       0      0      0 I   2.9  0.0   0:02.86 kworker/u8:2-ev
 9699 root      20   0  879060  26624   7200 S   2.9  0.3   0:00.16 5gc
 9774 ubuntu    20   0    9436   3412   2808 R   2.9  0.0   0:00.13 top
 9691 root      20   0       0      0      0 I   1.9  0.0   0:00.38 kworker/u8:0-br
   20 root       0 -20       0      0      0 I   1.0  0.0   0:05.21 kworker/1:0H-kb
 1753 root      20   0 1481080  36920  23812 S   1.0  0.5   2:14.58 containerd
 7770 root       0 -20       0      0      0 I   1.0  0.0   0:03.73 kworker/0:0H-mm
 9083 root      20   0       0      0      0 D   1.0  0.0   0:00.18 kworker/2:3+eve
