

top - 06:06:01 up 1 day, 41 min,  2 users,  load average: 0.36, 0.53, 0.51
Tasks: 146 total,   1 running,  86 sleeping,   0 stopped,   0 zombie
%Cpu(s): 50.4 us, 25.3 sy,  0.0 ni, 17.8 id,  0.0 wa,  0.0 hi,  6.6 si,  0.0 st
KiB Mem :  7996696 total,  3667068 free,  2129772 used,  2199856 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5763476 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 9873 root      20   0  909920  50624  11744 S  66.7  0.6   0:08.71 open5gs-amfd
 9877 root      20   0  406800  40368   8920 S  56.9  0.5   0:00.74 open5gs-udmd
 9247 mongodb   20   0  974364  78664  32316 S  46.1  1.0   0:30.24 mongod
 9886 root      20   0  376452  41584  12576 S  42.2  0.5   0:00.58 open5gs-udrd
 9879 root      20   0  898040  48372  12580 S  30.4  0.6   0:00.49 open5gs-pcfd
 9871 root      20   0 12.731g 861236  13944 S  27.5 10.8   0:02.79 open5gs-smfd
 9875 root      20   0  407936  36964   7564 S  23.5  0.5   0:00.42 open5gs-ausfd
 5563 ubuntu    20   0   13180   4588   2712 S   9.8  0.1   1:31.89 sshd
 9864 root      20   0  879060  26580   7176 S   4.9  0.3   0:00.17 5gc
 8559 root      20   0       0      0      0 I   3.9  0.0   0:07.05 kworker/u8:4-ev
 9075 root      20   0       0      0      0 I   3.9  0.0   0:04.22 kworker/u8:2-br
 9868 root      20   0 13.833g 763444   4820 S   3.9  9.5   0:02.21 open5gs-upfd
 9883 root      20   0  540340  35832   7176 S   3.9  0.4   0:00.17 open5gs-bsfd
 9691 root      20   0       0      0      0 I   2.9  0.0   0:01.46 kworker/u8:0-ev
 9866 root      20   0  376536  38408  11564 S   2.0  0.5   0:00.16 open5gs-nrfd
 9939 ubuntu    20   0    9436   3452   2848 R   2.0  0.0   0:00.13 top
   10 root      20   0       0      0      0 I   1.0  0.0   0:28.93 rcu_preempt
 9234 root      20   0       0      0      0 I   1.0  0.0   0:01.00 kworker/0:1-eve
 9692 root      20   0       0      0      0 I   1.0  0.0   0:00.16 kworker/1:1-eve
 9697 root      20   0       0      0      0 I   1.0  0.0   0:00.30 kworker/0:0-eve
    1 root      20   0  161784   8704   5540 S   0.0  0.1   0:14.40 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.20 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_wq
